Epoch,aveT,aveC,eATE,ePEHE,rjf,lcff,ly
0,0.09034804999828339,0.04638730362057686,1.0439607,1.0439608,0.6930970549583435,0.6999021172523499,0.38854688
10,0.15549960732460022,0.1177145466208458,1.037785,1.0377854,6.927810728549957,6.937895715236664,0.3790314
20,0.1992693394422531,0.1665659099817276,1.0327034,1.0327047,6.921536505222321,6.911862432956696,0.3784032
30,0.21491257846355438,0.16907194256782532,1.0458406,1.0458425,6.9123183488845825,6.913849294185638,0.37849116
40,0.21035891771316528,0.15241268277168274,1.0579462,1.057948,6.897975742816925,6.842139303684235,0.37805575
50,0.20289087295532227,0.1530882716178894,1.0498027,1.0498208,6.89168655872345,6.6274086236953735,0.37783602
60,0.20871955156326294,0.1574285626411438,1.051291,1.0513456,6.9022268652915955,6.471027612686157,0.37767974
70,0.20907779037952423,0.15070903301239014,1.0583688,1.0584606,6.908250033855438,6.802361011505127,0.37748
80,0.21101990342140198,0.14863397181034088,1.0623859,1.0625521,6.92472779750824,7.155403971672058,0.37737143
90,0.20336276292800903,0.1482541859149933,1.0551085,1.0553279,6.933353006839752,7.109667479991913,0.3773048
100,0.20707495510578156,0.14487598836421967,1.062199,1.0624522,6.935143828392029,7.149026691913605,0.3773179
110,0.20925049483776093,0.1451258361339569,1.0641247,1.0644343,6.933668255805969,7.13795268535614,0.37730068
120,0.19791847467422485,0.14421412348747253,1.0537044,1.0540075,6.931733191013336,7.118264317512512,0.37731898
130,0.19987590610980988,0.1460205614566803,1.0538553,1.0541781,6.925351500511169,7.056213974952698,0.37732205
140,0.2067299336194992,0.14479024708271027,1.0619397,1.0623322,6.921506106853485,7.045462489128113,0.37736475
150,0.19648784399032593,0.14774271845817566,1.0487452,1.0491863,6.918897867202759,7.012754559516907,0.3773832
160,0.20288564264774323,0.1433286964893341,1.0595568,1.0599898,6.9147361516952515,6.986942529678345,0.37737846
170,0.1943918615579605,0.14251746237277985,1.0518744,1.0522461,6.910912334918976,6.981828570365906,0.37743545
180,0.19490563869476318,0.14413563907146454,1.05077,1.0511829,6.907589435577393,6.979323208332062,0.37743652
190,0.19503428041934967,0.14397341012954712,1.0510609,1.0514705,6.903021156787872,6.994139134883881,0.37743807
200,0.2044719010591507,0.14678198099136353,1.0576899,1.0581225,6.899442434310913,6.992056667804718,0.37744513
210,0.2014904022216797,0.14567579329013824,1.0558146,1.0563253,6.8925119042396545,7.001005291938782,0.3775502
220,0.2045556604862213,0.14082658290863037,1.063729,1.0641612,6.888879895210266,7.006933271884918,0.3775913
230,0.19640782475471497,0.14815223217010498,1.0482556,1.0488111,6.884287416934967,7.0158538818359375,0.37759703
240,0.19899389147758484,0.13891051709651947,1.0600834,1.0605915,6.881107330322266,7.035286247730255,0.37762693
250,0.20063947141170502,0.1455429643392563,1.0550964,1.0555829,6.876254737377167,7.03549998998642,0.37757042
260,0.20175765454769135,0.13769209384918213,1.0640656,1.0644945,6.870470404624939,7.029317378997803,0.37765315
270,0.19750292599201202,0.14595799148082733,1.0515449,1.0520524,6.865458965301514,7.0487290024757385,0.3776122
280,0.1981341689825058,0.14190027117729187,1.0562339,1.0567687,6.859035611152649,7.0418174266815186,0.37765992
290,0.19145247340202332,0.14183032512664795,1.0496222,1.0500733,6.851212799549103,7.068484425544739,0.37764227
300,0.19533585011959076,0.1492949277162552,1.0460409,1.0465645,6.84354430437088,7.0749735832214355,0.3776616
310,0.19708727300167084,0.14145058393478394,1.0556368,1.0560883,6.83698958158493,7.086065173149109,0.37765405
320,0.1842150092124939,0.14424748718738556,1.0399675,1.0403987,6.828721523284912,7.122217535972595,0.3776495
330,0.19587008655071259,0.14511480927467346,1.0507553,1.0512189,6.82564115524292,7.1166815757751465,0.37764582
340,0.19874022901058197,0.14254941046237946,1.0561908,1.056652,6.81796407699585,7.105295479297638,0.37765616
350,0.20122508704662323,0.1460583209991455,1.0551667,1.0556682,6.816616177558899,7.1282976269721985,0.37766042
360,0.1995653510093689,0.144919291138649,1.054646,1.0550549,6.805801212787628,7.143528640270233,0.37764272
370,0.2051640748977661,0.14220328629016876,1.0629607,1.0634037,6.803030490875244,7.1397756934165955,0.37767485
380,0.20084573328495026,0.1485198587179184,1.0523258,1.0528028,6.792949974536896,7.185716986656189,0.3776885
390,0.19161005318164825,0.14863598346710205,1.042974,1.0434573,6.783990263938904,7.178052306175232,0.3776983
400,0.1974337100982666,0.14113320410251617,1.0563005,1.0566692,6.783365309238434,7.176738202571869,0.37766185
410,0.19861796498298645,0.14692416787147522,1.0516938,1.0522424,6.774734914302826,7.173723757266998,0.377709
420,0.21017156541347504,0.14444944262504578,1.0657221,1.0663697,6.767183840274811,7.2386481165885925,0.37774026
430,0.20715351402759552,0.13995912671089172,1.0671943,1.0677788,6.762933611869812,7.159042000770569,0.37769994
440,0.19967617094516754,0.14323082566261292,1.0564454,1.0570976,6.750194251537323,7.220776379108429,0.3777065
450,0.207563117146492,0.13302648067474365,1.0745366,1.0751477,6.735453903675079,7.187260627746582,0.37783322
460,0.20643621683120728,0.1407516598701477,1.0656846,1.0663049,6.727660417556763,7.233053386211395,0.3777278
470,0.20225919783115387,0.14134712517261505,1.0609121,1.0614781,6.721455693244934,7.268760800361633,0.37772405
480,0.20771221816539764,0.1423247754573822,1.0653875,1.065967,6.713186264038086,7.2625609040260315,0.37769535
490,0.20256084203720093,0.14145024120807648,1.0611106,1.061713,6.702285826206207,7.332552909851074,0.37773448
500,0.2005833089351654,0.1385483741760254,1.062035,1.0626662,6.695517539978027,7.267197072505951,0.37777594
510,0.2068103849887848,0.14484770596027374,1.0619627,1.0626713,6.683183014392853,7.328934729099274,0.3777446
520,0.1980438083410263,0.1449885070323944,1.0530553,1.0537488,6.672531306743622,7.348317444324493,0.37776583
530,0.20195937156677246,0.14493682980537415,1.0570226,1.0576192,6.666738152503967,7.351440489292145,0.37771392
540,0.19128933548927307,0.13877303898334503,1.0525163,1.0529847,6.676542162895203,7.411462903022766,0.37773427
550,0.20602695643901825,0.15538658201694489,1.0506403,1.051297,6.66765958070755,7.377041220664978,0.377855
560,0.19105327129364014,0.15125276148319244,1.0398005,1.0403885,6.66425758600235,7.425407886505127,0.37777236
570,0.2069818675518036,0.14326277375221252,1.063719,1.064248,6.656883716583252,7.4212347865104675,0.37768584
580,0.19379353523254395,0.15326549112796783,1.040528,1.0411354,6.66073352098465,7.462605893611908,0.37780422
590,0.18872646987438202,0.15151727199554443,1.0372092,1.0377718,6.659985244274139,7.520827651023865,0.3777746
600,0.1937064826488495,0.14707621932029724,1.0466303,1.0472587,6.66726952791214,7.507714152336121,0.37779665
610,0.1938958764076233,0.1517137885093689,1.0421821,1.0427196,6.659620761871338,7.453963458538055,0.37777415
620,0.18995578587055206,0.14275139570236206,1.0472044,1.0475343,6.662168741226196,7.500622630119324,0.3776554
630,0.19234216213226318,0.14344577491283417,1.0488964,1.0493693,6.674456179141998,7.510213673114777,0.3776905
640,0.19496537744998932,0.14989250898361206,1.0450729,1.045621,6.669146180152893,7.503471374511719,0.37775204
650,0.19563710689544678,0.14584296941757202,1.0497941,1.0501988,6.676572322845459,7.522338271141052,0.37766337
660,0.19048559665679932,0.14683178067207336,1.0436538,1.0440542,6.668445110321045,7.5283163189888,0.3776694
670,0.19618090987205505,0.15223965048789978,1.0439413,1.0445045,6.656778693199158,7.565237820148468,0.37778938
680,0.19030441343784332,0.1495063155889511,1.0407981,1.0412705,6.679702937602997,7.522302448749542,0.3776997
690,0.19289487600326538,0.14735548198223114,1.0455394,1.0460635,6.675070583820343,7.55466890335083,0.3777136
700,0.20133185386657715,0.14209505915641785,1.0592368,1.0597142,6.681042909622192,7.553043246269226,0.3776758
710,0.20330943167209625,0.14816893637180328,1.0551405,1.0557528,6.674412131309509,7.570958316326141,0.37775123
720,0.19982092082500458,0.1459304541349411,1.0538905,1.0542076,6.674790441989899,7.573151707649231,0.3776383
730,0.19733895361423492,0.1452329009771347,1.052106,1.0526222,6.683663964271545,7.542027115821838,0.37769946
740,0.20061108469963074,0.15429970622062683,1.0463114,1.0469351,6.680613994598389,7.561163246631622,0.37784764
750,0.20726880431175232,0.14874574542045593,1.058523,1.0590492,6.677497625350952,7.580011069774628,0.37768805
760,0.2040625512599945,0.14148902893066406,1.0625736,1.0631241,6.6805166602134705,7.566844403743744,0.37771028
770,0.20846864581108093,0.14722751080989838,1.0612411,1.0617934,6.683074176311493,7.583289802074432,0.3776522
780,0.1948312669992447,0.14882813394069672,1.0460031,1.0465187,6.685395896434784,7.617403745651245,0.37771672
790,0.19574248790740967,0.13588446378707886,1.0598581,1.0603454,6.683290243148804,7.578141510486603,0.3777981
