Epoch,aveT,aveC,eATE,ePEHE,rjf,lcff,ly
0,-0.000697136449161917,-0.000469650374725461,0.9997725,0.99977255,0.6929836273193359,0.6993880867958069,0.40664595
10,-0.00021336250938475132,0.005257191136479378,0.9945294,0.9945304,6.924644768238068,6.933526277542114,0.40520045
20,0.019384775310754776,0.06485683470964432,0.954528,0.95453507,6.915023446083069,6.925783812999725,0.39585733
30,0.08150652050971985,0.14241942763328552,0.9390871,0.9391338,6.903532683849335,6.875894844532013,0.39427722
40,0.15472379326820374,0.19214344024658203,0.9625803,0.9628092,6.894194066524506,6.689388334751129,0.39958128
50,0.20484106242656708,0.16645590960979462,1.0383852,1.0387365,6.897436141967773,6.487879931926727,0.39584538
60,0.18840152025222778,0.15314623713493347,1.0352553,1.0357695,6.904156386852264,6.598975121974945,0.39379823
70,0.1636645346879959,0.1419256031513214,1.0217389,1.0224994,6.910837531089783,7.018122017383575,0.3923917
80,0.1709700971841812,0.13654395937919617,1.0344262,1.0356036,6.922996878623962,7.0798251032829285,0.39159128
90,0.17548540234565735,0.13850127160549164,1.0369841,1.0385463,6.924887537956238,7.13423365354538,0.39149743
100,0.1711789220571518,0.13377171754837036,1.0374072,1.0391029,6.9263874888420105,7.1494245529174805,0.3911571
110,0.17463013529777527,0.12976156175136566,1.0448686,1.0466824,6.926611363887787,7.135882377624512,0.39094278
120,0.16499082744121552,0.1300189048051834,1.034972,1.0367864,6.920057713985443,7.129241347312927,0.39103538
130,0.17220120131969452,0.12347733229398727,1.0487239,1.0505749,6.915435969829559,7.1186299324035645,0.39079794
140,0.1670312136411667,0.1237255409359932,1.0433056,1.0451856,6.911257445812225,7.08675354719162,0.39100412
150,0.1636136919260025,0.1250445395708084,1.0385691,1.0405185,6.908217906951904,7.081839561462402,0.39126673
160,0.1633916050195694,0.12709829211235046,1.0362933,1.0382379,6.897374272346497,7.043000340461731,0.3915439
170,0.16446439921855927,0.12536759674549103,1.0390968,1.0410931,6.890285313129425,7.0272170305252075,0.39163756
180,0.16706717014312744,0.11877530813217163,1.0482918,1.0502912,6.881665825843811,7.055508852005005,0.3913219
190,0.1592860072851181,0.13111519813537598,1.0281708,1.0304,6.876933991909027,7.07109671831131,0.3921805
200,0.16466248035430908,0.1337706744670868,1.0308918,1.0334489,6.867695152759552,7.096818745136261,0.39236915
210,0.16545777022838593,0.12882813811302185,1.0366297,1.0391699,6.861189842224121,7.119183659553528,0.39211425
220,0.1621020883321762,0.1306697130203247,1.0314324,1.0337948,6.864619195461273,7.115147650241852,0.39221004
230,0.1525091975927353,0.1215805932879448,1.0309286,1.0332211,6.8616050481796265,7.165261209011078,0.39178485
240,0.16807009279727936,0.130554661154747,1.0375154,1.0400862,6.856791615486145,7.170186221599579,0.39239973
250,0.15247061848640442,0.14318804442882538,1.0092826,1.0120208,6.853084027767181,7.169126868247986,0.3934937
260,0.15743376314640045,0.1415407806634903,1.015893,1.0183063,6.842473566532135,7.1613258719444275,0.39307237
270,0.1674814075231552,0.13426095247268677,1.0332204,1.0359552,6.834950625896454,7.14678293466568,0.39261886
280,0.1550213247537613,0.1238047182559967,1.0312166,1.0336853,6.8294994831085205,7.156925320625305,0.3920939
290,0.15341435372829437,0.1186184287071228,1.0347959,1.0370677,6.8137810826301575,7.197117567062378,0.3918188
300,0.159961998462677,0.10972239077091217,1.0502396,1.0522226,6.808580815792084,7.238239884376526,0.391511
310,0.15314649045467377,0.10418647527694702,1.04896,1.050724,6.788956463336945,7.224971771240234,0.39144498
320,0.15536028146743774,0.12157014012336731,1.0337901,1.0362604,6.796702325344086,7.216691732406616,0.39202085
330,0.15507261455059052,0.09510985761880875,1.0599627,1.0616443,6.7788949608802795,7.229017078876495,0.39152616
340,0.14726850390434265,0.11559820920228958,1.0316703,1.0336761,6.774750709533691,7.2396193742752075,0.39172906
350,0.14367038011550903,0.10971377789974213,1.0339566,1.0358692,6.763298332691193,7.297411620616913,0.39156514
360,0.14771047234535217,0.11016938835382462,1.037541,1.039433,6.753209233283997,7.331458926200867,0.3915761
370,0.15507376194000244,0.10934823751449585,1.0457255,1.0477065,6.748119473457336,7.349984347820282,0.39157024
380,0.1626468449831009,0.1102452427148819,1.0524015,1.0544047,6.744018793106079,7.3770394921302795,0.3915783
390,0.150006502866745,0.10637444257736206,1.043632,1.0454612,6.728842735290527,7.440104722976685,0.39153197
