Epoch,aveT,aveC,eATE,ePEHE,rjf,lcff,ly
0,0.17789354920387268,0.24076849222183228,0.9371251,0.93712515,0.6936075091362,0.6615895628929138,3.7178895
10,0.24423618614673615,0.3023759424686432,0.9418602,0.94186145,6.933408081531525,6.707338392734528,3.502398
20,0.3327352702617645,0.38797882199287415,0.94475645,0.9447622,6.930107235908508,6.845926344394684,3.2194974
30,0.4690174162387848,0.5203909277915955,0.94862646,0.94864964,6.926898956298828,6.882538139820099,2.8130217
40,0.6960649490356445,0.7395336627960205,0.9565313,0.9566353,6.921955943107605,6.79816871881485,2.218256
50,1.026627540588379,1.1292494535446167,0.897378,0.8978155,6.913066804409027,6.703140914440155,1.4210861
60,1.4473562240600586,1.7703032493591309,0.67705315,0.67873853,6.9048362374305725,6.767196297645569,0.65367967
70,1.5791305303573608,2.493596315383911,0.08553392,0.122042425,6.890892446041107,6.754533231258392,0.3029891
80,1.26473867893219,2.7291903495788574,0.46445155,0.47139776,6.882825493812561,6.789694547653198,0.19658342
90,1.004762887954712,2.6500601768493652,0.64529717,0.64888924,6.871125221252441,6.810038983821869,0.20378968
100,1.0195770263671875,2.643732786178589,0.6241559,0.62773204,6.855389595031738,6.82662171125412,0.20154333
110,1.1222411394119263,2.667773723602295,0.54553246,0.55017376,6.8399383425712585,6.838079333305359,0.19064242
120,1.1627731323242188,2.6463253498077393,0.48355246,0.48833886,6.83350533246994,6.867021262645721,0.1902799
130,1.1558233499526978,2.632611036300659,0.47678745,0.48112348,6.822447896003723,6.876179814338684,0.19113846
140,1.142822027206421,2.638742685317993,0.49592078,0.5003658,6.792171776294708,6.895051836967468,0.19091353
150,1.1336455345153809,2.64370059967041,0.51005507,0.51520395,6.785776734352112,6.934104382991791,0.19058214
160,1.136664867401123,2.6509199142456055,0.51425517,0.5182874,6.7400365471839905,6.973511099815369,0.1906453
170,1.1358879804611206,2.6402671337127686,0.5043795,0.5086999,6.72548907995224,7.007053196430206,0.19095004
180,1.1404107809066772,2.648404359817505,0.5079936,0.5117164,6.712626814842224,7.01038271188736,0.1905414
190,1.1410199403762817,2.6413636207580566,0.5003438,0.50429,6.685689687728882,7.050306856632233,0.19070567
200,1.1406381130218506,2.642756462097168,0.5021186,0.50659955,6.668759882450104,7.092215299606323,0.190585
210,1.1405078172683716,2.6494028568267822,0.50889516,0.51250875,6.652733266353607,7.136701822280884,0.19061375
220,1.1387684345245361,2.647428274154663,0.50866044,0.5127701,6.61874794960022,7.177973389625549,0.19050398
230,1.1414496898651123,2.654667377471924,0.5132179,0.5171132,6.618337988853455,7.190030634403229,0.19025968
240,1.1390317678451538,2.6490976810455322,0.5100659,0.5139398,6.517698526382446,7.288020074367523,0.19053048
250,1.1365509033203125,2.6491165161132812,0.5125656,0.51630986,6.506135880947113,7.322485566139221,0.19046736
260,1.1421157121658325,2.655168056488037,0.51305246,0.5168855,6.521325945854187,7.417719304561615,0.19018763
270,1.1398166418075562,2.645474672317505,0.5056584,0.5099712,6.467210471630096,7.4873011112213135,0.19055516
280,1.1447139978408813,2.655348062515259,0.5106337,0.5140376,6.47136914730072,7.475988388061523,0.19016123
290,1.1396353244781494,2.6484732627868652,0.50883794,0.5125469,6.447861909866333,7.515810251235962,0.19053532
