Data_id,aveT,aveC,eATE,ePEHE
0,0.9088165760040283,2.0162999629974365,0.107483685,0.10750582
1,0.9399304389953613,2.0683891773223877,0.12845874,0.12849174
2,0.953796923160553,1.9411125183105469,0.012684286,0.012918205
3,0.8669338822364807,1.8674044609069824,0.00047051907,0.0038126805
4,0.9180687665939331,2.037688970565796,0.119620204,0.119646646
5,0.8876238465309143,2.1183512210845947,0.23072731,0.23074515
6,1.001592755317688,2.0602993965148926,0.05870664,0.058761444
7,0.9123682975769043,2.0605416297912598,0.14817357,0.14818846
8,0.9427412748336792,2.1386334896087646,0.19589216,0.19596551
9,0.9404239654541016,2.029979944229126,0.0895561,0.08961305
10,0.9225732684135437,2.004739999771118,0.08216661,0.082240336
11,0.9398173093795776,2.0817410945892334,0.14192367,0.14193964
12,0.9046911001205444,2.0918266773223877,0.18713546,0.18715128
13,0.9307737946510315,1.987243413925171,0.056469858,0.05655289
14,0.863609790802002,1.955283284187317,0.09167361,0.091707066
15,0.9643840193748474,1.9659837484359741,0.0015996695,0.0036000405
16,0.8745225667953491,2.0369555950164795,0.16243291,0.16246393
17,0.9002360105514526,2.043346881866455,0.14311099,0.14312746
18,0.8957191109657288,2.052750587463379,0.15703166,0.15705965
19,0.9313480257987976,2.092294454574585,0.16094613,0.16099805
20,1.0007474422454834,2.2202541828155518,0.2195068,0.21952128
21,0.8633737564086914,1.9849833250045776,0.12160969,0.121630594
22,0.9395521283149719,2.0518901348114014,0.11233795,0.11236872
23,0.9700682163238525,1.9900540113449097,0.019985795,0.020233003
24,0.8941259980201721,2.00909161567688,0.1149658,0.114990376
25,0.9907611608505249,2.045806646347046,0.055045426,0.055082593
26,0.9132236838340759,1.947062611579895,0.03383887,0.033986066
27,0.901529848575592,1.9908779859542847,0.089348316,0.089359395
28,0.8705494403839111,1.901427149772644,0.03087759,0.03106745
29,0.8877922892570496,1.9127297401428223,0.02493745,0.025017224
30,0.900702953338623,2.030818462371826,0.13011551,0.13013409
31,0.860690712928772,2.089573383331299,0.22888255,0.22889349
32,0.9340551495552063,2.0223398208618164,0.08828461,0.08831604
33,0.8418232798576355,1.9777498245239258,0.1359266,0.13594574
34,0.9011293649673462,1.936275601387024,0.035146117,0.035184562
35,0.9295614957809448,2.053316354751587,0.12375498,0.12379114
36,0.9643898010253906,2.0458898544311523,0.08150017,0.08154451
37,0.9522265791893005,2.110623359680176,0.15839684,0.15841998
38,0.9858933687210083,2.2420318126678467,0.2561385,0.2561429
39,0.8273144960403442,1.960389256477356,0.13307482,0.13310061
40,0.9818001985549927,2.1730897426605225,0.19128954,0.19130929
41,0.920327365398407,2.0167882442474365,0.09646094,0.096485846
42,0.9749318957328796,2.163541316986084,0.18860936,0.18862987
43,0.9103965759277344,2.033703088760376,0.123306155,0.12333934
44,0.9189201593399048,2.0314745903015137,0.11255443,0.112569496
45,0.9310431480407715,2.0839638710021973,0.1529206,0.1529293
46,0.9592748284339905,2.027515172958374,0.068240345,0.06826273
47,0.8584359288215637,2.0174152851104736,0.15897912,0.15900223
48,0.9562621712684631,1.9834331274032593,0.027171016,0.027302599
49,0.8804727792739868,1.9605563879013062,0.08008361,0.08015475
50,0.8874549865722656,1.8997578620910645,0.0123028755,0.012636875
51,0.9348973035812378,2.1650891304016113,0.23019212,0.23022652
52,0.9175137877464294,1.997239589691162,0.07972586,0.07978917
53,0.9081056118011475,1.9600746631622314,0.05196905,0.05216031
54,1.0048662424087524,2.197584629058838,0.19271845,0.19272475
55,0.9365397691726685,2.1803879737854004,0.24384826,0.24385925
56,0.9362785816192627,1.9266834259033203,0.0095950365,0.01025314
57,0.9324295520782471,2.0371150970458984,0.104685545,0.10472302
58,0.9623645544052124,2.175201416015625,0.21283662,0.2128442
59,0.9421053528785706,2.0525949001312256,0.11048961,0.11050394
60,0.8773549795150757,2.103977680206299,0.22662282,0.22663519
61,0.9535364508628845,1.9876487255096436,0.034112096,0.034234677
62,0.974785566329956,2.142890214920044,0.16810489,0.16811733
63,0.8915828466415405,1.864517092704773,0.027065754,0.027218085
64,0.9513759016990662,2.0397303104400635,0.08835429,0.08838064
65,0.8715656995773315,1.9716391563415527,0.10007346,0.10009334
66,0.9234480857849121,1.962072491645813,0.038624406,0.03875507
67,0.9073671698570251,2.0272016525268555,0.11983454,0.11984248
68,0.9553027153015137,2.2158167362213135,0.26051426,0.26053452
69,1.032235026359558,2.253065824508667,0.22083068,0.22087844
70,0.8874053955078125,2.0721323490142822,0.18472695,0.18473871
71,0.9928699135780334,2.044127941131592,0.05125785,0.051343698
72,0.9915036559104919,2.0193958282470703,0.027892172,0.027954897
73,0.9210968613624573,2.099130153656006,0.17803311,0.1780718
74,0.9395418763160706,1.969282865524292,0.02974093,0.029822206
75,0.8683944344520569,2.100978374481201,0.23258394,0.23259129
76,0.9375470876693726,1.9692550897598267,0.031708002,0.0317848
77,0.9452667236328125,1.91762113571167,0.027645707,0.027847858
78,0.9583218097686768,2.025101661682129,0.06677985,0.066879265
79,0.9160997867584229,1.9843461513519287,0.068246365,0.06828431
80,0.7884544134140015,1.871917724609375,0.08346325,0.08347631
81,0.9093360900878906,2.0496652126312256,0.14032912,0.140345
82,1.009975790977478,2.0370543003082275,0.027078569,0.027160814
83,0.8340044617652893,1.9523463249206543,0.118341684,0.11838792
84,0.9389222860336304,2.092768907546997,0.15384668,0.15388444
85,0.8831056952476501,1.9561716318130493,0.073065996,0.07309927
86,0.9017152190208435,2.0264477729797363,0.12473279,0.12478083
87,0.8360985517501831,2.017601251602173,0.18150288,0.18151852
88,1.0130871534347534,2.2327356338500977,0.2196486,0.21969923
89,0.883651077747345,1.9730892181396484,0.08943808,0.08949554
90,0.9976383447647095,2.1371798515319824,0.13954163,0.13957691
91,0.95372474193573,2.07696533203125,0.12324053,0.123291105
92,0.895362377166748,1.9069184064865112,0.011556029,0.011749864
93,0.931709885597229,1.9930111169815063,0.06130123,0.061339382
94,0.8835362195968628,2.0330848693847656,0.14954859,0.14957803
95,0.8927528858184814,2.0539562702178955,0.16120332,0.16126154
96,0.9046406745910645,2.017209768295288,0.112568974,0.11261651
97,0.9292697906494141,2.1637775897979736,0.23450768,0.23451465
98,0.929915726184845,2.017523765563965,0.08760786,0.08765319
99,0.8761894702911377,1.9386261701583862,0.06243658,0.062467985
