Data_id,aveT,aveC,eATE,ePEHE
0,1.218762993812561,2.722538948059082,0.5037762,0.5042957
1,1.2142621278762817,2.685898780822754,0.471637,0.47163695
2,1.250893473625183,2.6344974040985107,0.38360417,0.3836043
3,1.2059426307678223,2.622981309890747,0.41703874,0.41704547
4,1.279916763305664,2.7204837799072266,0.44056714,0.44056997
5,1.11963951587677,2.72851824760437,0.6088786,0.60894924
6,1.1553764343261719,2.735138177871704,0.57976174,0.57976454
7,1.183802843093872,2.773449659347534,0.5896469,0.58965784
8,1.1517773866653442,2.5878822803497314,0.4361049,0.43610537
9,1.1988974809646606,2.746851682662964,0.5479541,0.54795766
10,1.0812950134277344,2.6687357425689697,0.58744097,0.587442
11,1.1353307962417603,2.5704190731048584,0.43508828,0.43509644
12,1.159883975982666,2.659879446029663,0.49999535,0.49999547
13,1.141304850578308,2.6816179752349854,0.5403132,0.54031324
14,1.1773813962936401,2.772167205810547,0.59478617,0.5947926
15,1.1728044748306274,2.5903398990631104,0.41753542,0.41757277
16,1.0944265127182007,2.514873743057251,0.42044735,0.420455
17,1.184713363647461,2.7021524906158447,0.5174391,0.5174418
18,1.1711959838867188,2.565704107284546,0.39450824,0.39452633
19,1.1729871034622192,2.713712215423584,0.54072505,0.5407257
20,1.120574951171875,2.616091728210449,0.4955169,0.49583927
21,1.229351282119751,2.6668620109558105,0.43751073,0.4375151
22,1.1298613548278809,2.5432636737823486,0.41340232,0.4134041
23,1.2536497116088867,2.6265923976898193,0.37294257,0.37294725
24,1.1167258024215698,2.6133909225463867,0.49666512,0.49670333
25,1.2663427591323853,2.724843978881836,0.45850122,0.45850122
26,1.1617833375930786,2.752027750015259,0.5902444,0.5902719
27,1.197548270225525,2.7343766689300537,0.5368287,0.5368286
28,1.1669193506240845,2.7126100063323975,0.54569054,0.5456945
29,1.270240306854248,2.671837329864502,0.4015969,0.4015989
30,1.1631693840026855,2.6884615421295166,0.5252923,0.52529377
31,1.1952348947525024,2.6409406661987305,0.4457059,0.4457088
32,1.1541138887405396,2.6752140522003174,0.52110016,0.5211011
33,1.141548991203308,2.6829769611358643,0.54142785,0.5414278
34,1.2122654914855957,2.7129006385803223,0.50063527,0.50064975
35,1.016473412513733,2.3985166549682617,0.38204324,0.3821251
36,1.198890209197998,2.6979265213012695,0.4990363,0.4990382
37,1.1421356201171875,2.7513554096221924,0.6092198,0.6092224
38,1.2405649423599243,2.7086637020111084,0.46809852,0.4680997
39,1.2112468481063843,2.6840109825134277,0.47276402,0.4727895
40,1.170028567314148,2.5873329639434814,0.4173044,0.41731676
41,1.2355332374572754,2.727266311645508,0.49173343,0.49173492
42,1.2058160305023193,2.660149097442627,0.45433342,0.45433512
43,1.1704487800598145,2.7031519412994385,0.53270304,0.5327033
44,1.2719292640686035,2.6139068603515625,0.34197772,0.34198028
45,1.1731505393981934,2.711209297180176,0.538059,0.53807837
46,1.1940263509750366,2.641624689102173,0.44759822,0.44760376
47,1.1619666814804077,2.6950883865356445,0.5331216,0.5331487
48,1.1589864492416382,2.6801419258117676,0.52115536,0.5211661
49,1.276239275932312,2.6593220233917236,0.38308275,0.3831069
50,1.1874089241027832,2.8303534984588623,0.64294446,0.64296407
51,1.2086530923843384,2.6180355548858643,0.40938252,0.4093863
52,1.190850853919983,2.7681097984313965,0.5772589,0.57726717
53,1.1748992204666138,2.651153802871704,0.47625446,0.47625452
54,1.1503527164459229,2.711242437362671,0.5608897,0.56088984
55,1.245642066001892,2.6231861114501953,0.37754416,0.3775453
56,1.1976956129074097,2.657487630844116,0.45979214,0.4598096
57,1.131678581237793,2.628931999206543,0.49725342,0.49725348
58,1.1098031997680664,2.64555025100708,0.5357468,0.5357751
59,1.1859982013702393,2.64975643157959,0.46375823,0.46376428
60,1.1569565534591675,2.724828004837036,0.5678716,0.5678827
61,1.2322101593017578,2.6749727725982666,0.44276237,0.44276425
62,1.205979824066162,2.703643798828125,0.49766397,0.4976703
63,1.1431076526641846,2.66835618019104,0.5252489,0.52525276
64,1.21122407913208,2.725222587585449,0.5139986,0.51400506
65,1.1362196207046509,2.719529628753662,0.58330977,0.5833135
66,1.2501580715179443,2.6959383487701416,0.44578028,0.4457807
67,1.1786197423934937,2.669011116027832,0.4903915,0.4903918
68,1.143056869506836,2.4920318126678467,0.34897482,0.3489748
69,1.1937346458435059,2.672316551208496,0.4785822,0.4785827
70,1.0947942733764648,2.5726380348205566,0.47784382,0.47786558
71,1.2765907049179077,2.731102705001831,0.45451212,0.45451388
72,1.2215989828109741,2.687274217605591,0.46567547,0.46568203
73,1.19149649143219,2.6515886783599854,0.46009207,0.46011916
74,1.1987556219100952,2.681569814682007,0.48281455,0.482815
75,1.1835302114486694,2.7441861629486084,0.56065595,0.56065816
76,1.1402775049209595,2.77168345451355,0.63140583,0.6314237
77,1.1636035442352295,2.6306495666503906,0.46704602,0.46706006
78,1.2310516834259033,2.6901509761810303,0.4590993,0.45909983
79,1.209377646446228,2.681457757949829,0.47208035,0.4720891
80,1.3230290412902832,2.6653378009796143,0.34230888,0.3423185
81,1.2007609605789185,2.7263245582580566,0.5255637,0.5255658
82,1.187243103981018,2.708625078201294,0.5213816,0.52140164
83,1.1188421249389648,2.62264084815979,0.5037986,0.5038023
84,1.2006750106811523,2.600713014602661,0.40003777,0.40003994
85,1.1738675832748413,2.624769926071167,0.45090246,0.45090345
86,1.1872968673706055,2.7726659774780273,0.5853692,0.5853702
87,1.2072234153747559,2.6427299976348877,0.4355067,0.4355069
88,1.1526051759719849,2.765381336212158,0.6127761,0.61278194
89,1.1806526184082031,2.658332586288452,0.47767997,0.47775027
90,1.2886664867401123,2.837886095046997,0.5492198,0.54922414
91,1.1279618740081787,2.557225465774536,0.4292636,0.42926425
92,1.2097007036209106,2.6810524463653564,0.4713515,0.47139436
93,1.1668753623962402,2.622974157333374,0.4560989,0.4561038
94,1.1637283563613892,2.7224388122558594,0.5587101,0.5587103
95,1.171269416809082,2.6346747875213623,0.4634055,0.46347722
96,1.270283579826355,2.9422781467437744,0.6719947,0.6720499
97,1.188847303390503,2.6506459712982178,0.46179855,0.46179882
98,1.1624425649642944,2.552405595779419,0.38996273,0.38998583
99,1.1509339809417725,2.705836057662964,0.554902,0.5549134
